code	desc
724.5	Backache, unspecified
V49.70	Unspecified level lower limb amputation status
112.3	Candidiasis of skin and nails
250.01	Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled
307.42	Persistent disorder of initiating or maintaining sleep
333.94	Restless legs syndrome (RLS)
369.4	Legal blindness, as defined in U.S.A.
413.9	Other and unspecified angina pectoris
429.9	Heart disease, unspecified
530.85	Barrett's esophagus
586	Renal failure, unspecified
729.81	Swelling of limb
733.90	Disorder of bone and cartilage, unspecified
780.52	Insomnia, unspecified
784.3	Aphasia
V03.82	Other specified vaccinations against streptococcus pneumoniae [pneumococcus]
V04.81	Need for prophylactic vaccination and inoculation against influenza
V68.1	Issue of repeat prescriptions
511.9	Unspecified pleural effusion
295.70	Schizoaffective disorder, unspecified
296.89	Other bipolar disorders
341.9	Demyelinating disease of central nervous system, unspecified
345.90	Epilepsy, unspecified, without mention of intractable epilepsy
276.8	Hypopotassemia
571.42	Autoimmune hepatitis
698.9	Unspecified pruritic disorder
789.59	Other ascites
V43.3	Heart valve replaced by other means
722.73	Intervertebral disc disorder with myelopathy, lumbar region
031.0	Pulmonary diseases due to other mycobacteria
339.00	Cluster headache syndrome, unspecified
427.89	Other specified cardiac dysrhythmias
783.21	Loss of weight
786.05	Shortness of breath
840.6	Supraspinatus (muscle) (tendon) sprain
238.75	Myelodysplastic syndrome, unspecified
280.8	Other specified iron deficiency anemias
288.50	Leukocytopenia, unspecified
366.9	Unspecified cataract
367.9	Unspecified disorder of refraction and accommodation
389.10	Sensorineural hearing loss, unspecified
701.8	Other specified hypertrophic and atrophic conditions of skin
707.00	Pressure ulcer, unspecified site
707.20	Pressure ulcer, unspecified stage
786.30	Hemoptysis, unspecified
IMO0001	
556.9	Ulcerative colitis, unspecified
278.01	Morbid obesity
296.20	Major depressive affective disorder, single episode, unspecified
553.3	Diaphragmatic hernia without mention of obstruction or gangrene
571.40	Chronic hepatitis, unspecified
620.2	Other and unspecified ovarian cyst
708.1	Idiopathic urticaria
276.7	Hyperpotassemia
327.23	Obstructive sleep apnea (adult)(pediatric)
528.9	Other and unspecified diseases of the oral soft tissues
584.9	Acute kidney failure, unspecified
733.42	Aseptic necrosis of head and neck of femur
784.1	Throat pain
V43.64	Hip joint replacement
355.9	Mononeuritis of unspecified site
362.10	Background retinopathy, unspecified
369.9	Unspecified visual loss
389.9	Unspecified hearing loss
424.0	Mitral valve disorders
716.90	Arthropathy, unspecified, site unspecified
795.5	
840.8	Sprains and strains of other specified sites of shoulder and upper arm
305.00	Alcohol abuse, unspecified
356.9	Unspecified hereditary and idiopathic peripheral neuropathy
153.5	Malignant neoplasm of appendix vermiformis
209.60	Benign carcinoid tumor of unknown primary site
307.81	Tension headache
478.4	Polyp of vocal cord or larynx
571.8	Other chronic nonalcoholic liver disease
790.4	Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]
977.8	Poisoning by other specified drugs and medicinal substances
995.3	Allergy, unspecified, not elsewhere classified
266.2	Other B-complex deficiencies
268.9	Unspecified vitamin D deficiency
428.9	Heart failure, unspecified
786.6	Swelling, mass, or lump in chest
794.31	Nonspecific abnormal electrocardiogram [ECG] [EKG]
V43.65	Knee joint replacement
242.90	Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm
256.4	Polycystic ovaries
346.90	Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus
704.00	Alopecia, unspecified
277.4	Disorders of bilirubin excretion
427.9	Cardiac dysrhythmia, unspecified
535.50	Unspecified gastritis and gastroduodenitis, without mention of hemorrhage
564.1	Irritable bowel syndrome
601.9	Prostatitis, unspecified
607.84	Impotence of organic origin
704.8	Other specified diseases of hair and hair follicles
845.09	Other sprains and strains of ankle
456.1	Esophageal varices without mention of bleeding
401.1	Benign essential hypertension
V70.9	Unspecified general medical examination
134.8	Other specified infestations
276.1	Hyposmolality and/or hyponatremia
294.8	Other persistent mental disorders due to conditions classified elsewhere
295.30	Paranoid type schizophrenia, unspecified
295.90	Unspecified schizophrenia, unspecified
695.89	Other specified erythematous conditions
707.9	Chronic ulcer of unspecified site
780.09	Other alteration of consciousness
780.4	Dizziness and giddiness
V76.19	Other screening breast examination
V76.9	Special screening for unspecified malignant neoplasms
V82.81	Special screening for osteoporosis
491.8	Other chronic bronchitis
515	Postinflammatory pulmonary fibrosis
996.80	Complications of transplanted organ, unspecified
237.0	Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct
257.2	Other testicular hypofunction
318.0	Moderate intellectual disabilities
365.70	Glaucoma stage, unspecified
389.7	Deaf, nonspeaking, not elsewhere classifiable
558.9	Other and unspecified noninfectious gastroenteritis and colitis
710.0	Systemic lupus erythematosus
V07.39	Need for other prophylactic chemotherapy
V72.81	Pre-operative cardiovascular examination
V72.84	Pre-operative examination, unspecified
285.29	Anemia of other chronic disease
604.90	Orchitis and epididymitis, unspecified
296.80	Bipolar disorder, unspecified
338.21	Chronic pain due to trauma
490	Bronchitis, not specified as acute or chronic
569.3	Hemorrhage of rectum and anus
729.1	Myalgia and myositis, unspecified
V18.0	Family history of diabetes mellitus
555.9	Regional enteritis of unspecified site
565.1	Anal fistula
214.9	Lipoma, unspecified site
416.8	Other chronic pulmonary heart diseases
153.9	Malignant neoplasm of colon, unspecified site
162.9	Malignant neoplasm of bronchus and lung, unspecified
241.0	Nontoxic uninodular goiter
415.19	Other pulmonary embolism and infarction
416.9	Chronic pulmonary heart disease, unspecified
427.0	Paroxysmal supraventricular tachycardia
494.0	Bronchiectasis without acute exacerbation
496	Chronic airway obstruction, not elsewhere classified
573.9	Unspecified disorder of liver
338.0	Central pain syndrome
455.8	Unspecified hemorrhoids with other complication
564.81	Neurogenic bowel
569.42	Anal or rectal pain
596.54	Neurogenic bladder NOS
907.2	Late effect of spinal cord injury
301.83	Borderline personality disorder
338.29	Other chronic pain
724.00	Spinal stenosis, unspecified region
787.60	Full incontinence of feces
197.7	Malignant neoplasm of liver, secondary
891.1	Open wound of knee, leg [except thigh], and ankle, complicated
183.0	Malignant neoplasm of ovary
553.20	Ventral, unspecified, hernia without mention of obstruction or gangrene
271.3	Intestinal disaccharidase deficiencies and disaccharide malabsorption
V70.0	Routine general medical examination at a health care facility
455.3	External hemorrhoids without mention of complication
625.6	Stress incontinence, female
728.71	Plantar fascial fibromatosis
719.51	Stiffness of joint, not elsewhere classified, shoulder region
905.8	Late effect of tendon injury
300.4	Dysthymic disorder
427.81	Sinoatrial node dysfunction
110.9	Dermatophytosis of unspecified site
611.79	Other signs and symptoms in breast
682.9	Cellulitis and abscess of unspecified sites
785.4	Gangrene
205.00	Acute myeloid leukemia, without mention of having achieved remission
188.0	Malignant neoplasm of trigone of urinary bladder
250.60	Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled
707.10	Ulcer of lower limb, unspecified
185	Malignant neoplasm of prostate
790.1	Elevated sedimentation rate
453.2	Other venous embolism and thrombosis of inferior vena cava
790.7	Bacteremia
492.8	Other emphysema
519.11	Acute bronchospasm
438.22	Late effects of cerebrovascular disease, hemiplegia affecting nondominant side
V53.8	Fitting and adjustment of wheelchair
300.01	Panic disorder without agoraphobia
611.72	Lump or mass in breast
721.90	Spondylosis of unspecified site, without mention of myelopathy
367.0	Hypermetropia
458.9	Hypotension, unspecified
462	Acute pharyngitis
578.0	Hematemesis
799.3	Debility, unspecified
111.9	Dermatomycosis, unspecified
333.1	Essential and other specified forms of tremor
375.15	Tear film insufficiency, unspecified
412	Old myocardial infarction
428.22	Chronic systolic heart failure
455.6	Unspecified hemorrhoids without mention of complication
562.10	Diverticulosis of colon (without mention of hemorrhage)
574.20	Calculus of gallbladder without mention of cholecystitis, without mention of obstruction
702.19	Other seborrheic keratosis
V58.83	Encounter for therapeutic drug monitoring
294.20	Dementia, unspecified, without behavioral disturbance
990	Effects of radiation, unspecified
998.32	Disruption of external operation (surgical) wound
453.40	Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity
780.39	Other convulsions
196.2	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
259.2	Carcinoid syndrome
425.4	Other primary cardiomyopathies
426.4	Right bundle branch block
793.2	Nonspecific (abnormal) findings on radiological and other examination of other intrathoracic organs
715.96	Osteoarthrosis, unspecified whether generalized or localized, lower leg
585.5	Chronic kidney disease, Stage V
212.6	Benign neoplasm of thymus
709.9	Unspecified disorder of skin and subcutaneous tissue
793.80	Abnormal mammogram, unspecified
154.1	Malignant neoplasm of rectum
V07.2	Need for prophylactic immunotherapy
054.10	Genital herpes, unspecified
553.9	Hernia of unspecified site without mention of obstruction or gangrene
747.60	Anomaly of the peripheral vascular system, unspecified site
753.10	Cystic kidney disease, unspecified
380.4	Impacted cerumen
820.8	Closed fracture of unspecified part of neck of femur
730.20	Unspecified osteomyelitis, site unspecified
153.2	Malignant neoplasm of descending colon
V62.4	Social maladjustment
710.1	Systemic sclerosis
714.0	Rheumatoid arthritis
V49.81	Asymptomatic postmenopausal status (age-related) (natural)
592.0	Calculus of kidney
V22.2	Pregnant state, incidental
V72.0	Examination of eyes and vision
440.21	Atherosclerosis of native arteries of the extremities with intermittent claudication
569.81	Fistula of intestine, excluding rectum and anus
273.8	Other disorders of plasma protein metabolism
289.81	Primary hypercoagulable state
053.9	Herpes zoster without mention of complication
289.0	Polycythemia, secondary
318.1	Severe intellectual disabilities
424.90	Endocarditis, valve unspecified, unspecified cause
745.2	Tetralogy of fallot
344.00	Quadriplegia, unspecified
707.05	Pressure ulcer, buttock
707.07	Pressure ulcer, heel
719.40	Pain in joint, site unspecified
724.02	Spinal stenosis, lumbar region, without neurogenic claudication
726.5	Enthesopathy of hip region
V72.85	Other specified examination
V82.9	Screening for unspecified condition
440.24	Atherosclerosis of native arteries of the extremities with gangrene
V49.75	Below knee amputation status
275.09	Other disorders of iron metabolism
616.10	Vaginitis and vulvovaginitis, unspecified
331.0	Alzheimer's disease
386.11	Benign paroxysmal positional vertigo
785.1	Palpitations
088.81	Lyme Disease
303.90	Other and unspecified alcohol dependence, unspecified
516.36	Cryptogenic organizing pneumonia
707.03	Pressure ulcer, lower back
425.5	Alcoholic cardiomyopathy
793.19	Other nonspecific abnormal finding of lung field
445.89	Atheroembolism of other site
560.9	Unspecified intestinal obstruction
958.3	Posttraumatic wound infection not elsewhere classified
555.2	Regional enteritis of small intestine with large intestine
879.3	Open wound of abdominal wall, anterior, complicated
556.6	Universal ulcerative (chronic) colitis
784.91	Postnasal drip
787.02	Nausea alone
571.2	Alcoholic cirrhosis of liver
785.6	Enlargement of lymph nodes
562.11	Diverticulitis of colon (without mention of hemorrhage)
V55.3	Attention to colostomy
280.0	Iron deficiency anemia secondary to blood loss (chronic)
521.00	Dental caries, unspecified
596.3	Diverticulum of bladder
727.51	Synovial cyst of popliteal space
182.0	Malignant neoplasm of corpus uteri, except isthmus
229.9	Benign neoplasm of unspecified site
719.54	Stiffness of joint, not elsewhere classified, hand
953.4	Injury to brachial plexus
578.9	Hemorrhage of gastrointestinal tract, unspecified
252.9	Unspecified disorder of parathyroid gland
269.2	Unspecified vitamin deficiency
275.42	Hypercalcemia
372.72	Conjunctival hemorrhage
394.9	Other and unspecified mitral valve diseases
411.1	Intermediate coronary syndrome
414.01	Coronary atherosclerosis of native coronary artery
441.00	Dissection of aorta, unspecified site
465.9	Acute upper respiratory infections of unspecified site
466.0	Acute bronchitis
786.59	Other chest pain
V58.61	Long-term (current) use of anticoagulants
553.21	Incisional hernia without mention of obstruction or gangrene
V72.31	Routine gynecological examination
524.62	Temporomandibular joint disorders, arthralgia of temporomandibular joint
623.8	Other specified noninflammatory disorders of vagina
780.1	Hallucinations
204.10	Chronic lymphoid leukemia, without mention of having achieved remission
250.70	Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled
251.2	Hypoglycemia, unspecified
486	Pneumonia, organism unspecified
V44.3	Colostomy status
V45.89	Other postprocedural status
008.45	Intestinal infection due to Clostridium difficile
455.0	Internal hemorrhoids without mention of complication
572.2	Hepatic encephalopathy
611.71	Mastodynia
716.95	Arthropathy, unspecified, pelvic region and thigh
780.6	
782.9	Other symptoms involving skin and integumentary tissues
783.0	Anorexia
203.00	Multiple myeloma, without mention of having achieved remission
473.9	Unspecified sinusitis (chronic)
794.8	Nonspecific abnormal results of function study of liver
250.50	Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled
362.01	Background diabetic retinopathy
272.2	Mixed hyperlipidemia
707.15	Ulcer of other part of foot
780.57	Unspecified sleep apnea
10000	
454.9	Asymptomatic varicose veins
297.1	Delusional disorder
789.01	Abdominal pain, right upper quadrant
796.2	Elevated blood pressure reading without diagnosis of hypertension
V45.02	Automatic implantable cardiac defibrillator in situ
578.1	Blood in stool
290.20	Senile dementia with delusional features
294.11	Dementia in conditions classified elsewhere with behavioral disturbance
573.8	Other specified disorders of liver
441.2	Thoracic aneurysm without mention of rupture
786.51	Precordial pain
201.90	Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites
358.30	Lambert-Eaton syndrome, unspecified
239.0	Neoplasm of unspecified nature of digestive system
209.40	Benign carcinoid tumor of the small intestine, unspecified portion
600.90	Hyperplasia of prostate, unspecified, without urinary obstruction and other lower urinary symptoms (LUTS)
435.2	Subclavian steal syndrome
444.22	Arterial embolism and thrombosis of lower extremity
274.11	Uric acid nephrolithiasis
275.03	Other hemochromatosis
V42.7	Liver replaced by transplant
272.1	Pure hyperglyceridemia
179	Malignant neoplasm of uterus, part unspecified
599.70	Hematuria, unspecified
153.1	Malignant neoplasm of transverse colon
211.4	Benign neoplasm of rectum and anal canal
560.1	Paralytic ileus
596.7	Hemorrhage into bladder wall
596.89	Other specified disorders of bladder
V44.59	Other cystostomy
V44.6	Other artificial opening of urinary tract status
151.9	Malignant neoplasm of stomach, unspecified site
682.0	Cellulitis and abscess of face
537.9	Unspecified disorder of stomach and duodenum
250.40	Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled
305.62	Cocaine abuse, episodic
707.14	Ulcer of heel and midfoot
896.0	Traumatic amputation of foot (complete) (partial), unilateral, without mention of complication
897.6	Traumatic amputation of leg(s) (complete) (partial), bilateral [any level]), without mention of complication
141.9	Malignant neoplasm of tongue, unspecified
343.9	Infantile cerebral palsy, unspecified
719.43	Pain in joint, forearm
211.2	Benign neoplasm of duodenum, jejunum, and ileum
530.19	Other esophagitis
536.3	Gastroparesis
785.9	Other symptoms involving cardiovascular system
787.3	Flatulence, eructation, and gas pain
564	
282.60	Sickle-cell disease, unspecified
193	Malignant neoplasm of thyroid gland
555.1	Regional enteritis of large intestine
432.1	Subdural hemorrhage
V45.87	Transplanted organ removal status
403.91	Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease
718.46	Contracture of joint, lower leg
281.9	Unspecified deficiency anemia
357.9	Unspecified inflammatory and toxic neuropathy
447.6	Arteritis, unspecified
553.1	Umbilical hernia without mention of obstruction or gangrene
719.45	Pain in joint, pelvic region and thigh
719.7	Difficulty in walking
272	
434.00	Cerebral thrombosis without mention of cerebral infarction
707.12	Ulcer of calf
348.30	Encephalopathy, unspecified
781.3	Lack of coordination
416.0	Primary pulmonary hypertension
491.9	Unspecified chronic bronchitis
753.12	Polycystic kidney, unspecified type
789.1	Hepatomegaly
289.59	Other diseases of spleen
593.81	Vascular disorders of kidney
607.1	Balanoposthitis
795.79	Other and unspecified nonspecific immunological findings
780.71	Chronic fatigue syndrome
686.9	Unspecified local infection of skin and subcutaneous tissue
249.50	Secondary diabetes mellitus with ophthalmic manifestations, not stated as uncontrolled, or unspecified
V10.3	Personal history of malignant neoplasm of breast
249.00	Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified
727.06	Tenosynovitis of foot and ankle
783.9	Other symptoms concerning nutrition, metabolism, and development
305.90	Other, mixed, or unspecified drug abuse, unspecified
788.20	Retention of urine, unspecified
155.1	Malignant neoplasm of intrahepatic bile ducts
790.93	Elevated prostate specific antigen [PSA]
269.9	Unspecified nutritional deficiency
531.90	Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction
608.83	Vascular disorders of male genital organs
780.99	Other general symptoms
879.8	Open wound(s) (multiple) of unspecified site(s), without mention of complication
V53.6	Fitting and adjustment of urinary devices
270.4	Disturbances of sulphur-bearing amino-acid metabolism
272.9	Unspecified disorder of lipoid metabolism
275.3	Disorders of phosphorus metabolism
727.1	Bunion
784.59	Other speech disturbance
457.1	Other lymphedema
459.9	Unspecified circulatory system disorder
530.0	Achalasia and cardiospasm
421.0	Acute and subacute bacterial endocarditis
730.28	Unspecified osteomyelitis, other specified sites
070.54	Chronic hepatitis C without mention of hepatic coma
286.0	Congenital factor VIII disorder
296.90	Unspecified episodic mood disorder
719.10	Hemarthrosis, site unspecified
110.4	Dermatophytosis of foot
291.2	Alcohol-induced persisting dementia
V15.82	Personal history of tobacco use
277.7	Dysmetabolic syndrome X
447.1	Stricture of artery
523.6	Accretions on teeth
425.8	Cardiomyopathy in other diseases classified elsewhere
288.3	Eosinophilia
511.89	Other specified forms of effusion, except tuberculous
250.72	Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled
252.01	Primary hyperparathyroidism
354.0	Carpal tunnel syndrome
682.6	Cellulitis and abscess of leg, except foot
253.1	Other and unspecified anterior pituitary hyperfunction
305.03	Alcohol abuse, in remission
041.86	Helicobacter pylori [H. pylori]
306.4	Gastrointestinal malfunction arising from mental factors
281.0	Pernicious anemia
372.53	Conjunctival xerosis
525.9	Unspecified disorder of the teeth and supporting structures
701.9	Unspecified hypertrophic and atrophic conditions of skin
428.32	Chronic diastolic heart failure
780.97	Altered mental status
985.5	Toxic effect of cadmium and its compounds
721.0	Cervical spondylosis without myelopathy
011.90	Pulmonary tuberculosis, unspecified, unspecified
625.8	Other specified symptoms associated with female genital organs
146.0	Malignant neoplasm of tonsil
149.0	Malignant neoplasm of pharynx, unspecified
577.8	Other specified diseases of pancreas
726.71	Achilles bursitis or tendinitis
726.90	Enthesopathy of unspecified site
730.21	Unspecified osteomyelitis, shoulder region
369.60	Profound impairment, one eye, impairment level not further specified
427.41	Ventricular fibrillation
278	
369.2	
250.82	Diabetes with other specified manifestations, type II or unspecified type, uncontrolled
433.10	Occlusion and stenosis of carotid artery without mention of cerebral infarction
537.1	Gastric diverticulum
552.3	Diaphragmatic hernia with obstruction
782.2	Localized superficial swelling, mass, or lump
793.5	Nonspecific (abnormal) findings on radiological and other examination of genitourinary organs
427.1	Paroxysmal ventricular tachycardia
453.9	Other venous embolism and thrombosis of unspecified site
426.3	Other left bundle branch block
642.54	Severe pre-eclampsia, postpartum condition or complication
276.9	Electrolyte and fluid disorders not elsewhere classified
294.9	Unspecified persistent mental disorders due to conditions classified elsewhere
781.99	Other symptoms involving nervous and musculoskeletal systems
V57.3	Care involving speech-language therapy
487.1	Influenza with other respiratory manifestations
493.92	Asthma, unspecified type, with (acute) exacerbation
227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct
253.0	Acromegaly and gigantism
441.4	Abdominal aneurysm without mention of rupture
721.1	Cervical spondylosis with myelopathy
V08	Asymptomatic human immunodeficiency virus [HIV] infection status
217	Benign neoplasm of breast
720.0	Ankylosing spondylitis
429.3	Cardiomegaly
550.93	Inguinal hernia, without mention of obstruction or gangrene, bilateral, recurrent
686.00	Pyoderma, unspecified
788.42	Polyuria
728.84	Diastasis of muscle
097.1	Latent syphilis, unspecified
281.3	Other specified megaloblastic anemias not elsewhere classified
284.19	Other pancytopenia
605	Redundant prepuce and phimosis
862.9	Injury to multiple and unspecified intrathoracic organs, with open wound into cavity
351.0	Bell's palsy
298.9	Unspecified psychosis
282.41	Sickle-cell thalassemia without crisis
305.93	Other, mixed, or unspecified drug abuse, in remission
202.00	Nodular lymphoma, unspecified site, extranodal and solid organ sites
202.80	Other malignant lymphomas, unspecified site, extranodal and solid organ sites
719.42	Pain in joint, upper arm
793.6	Nonspecific (abnormal) findings on radiological and other examination of abdominal area, including retroperitoneum
822.0	Closed fracture of patella
V74.1	Screening examination for pulmonary tuberculosis
726.73	Calcaneal spur
085.9	Leishmaniasis, unspecified
690.10	Seborrheic dermatitis, unspecified
996.79	Other complications due to other internal prosthetic device, implant, and graft
275.49	Other disorders of calcium metabolism
309.0	Adjustment disorder with depressed mood
682.7	Cellulitis and abscess of foot, except toes
788.31	Urge incontinence
245.2	Chronic lymphocytic thyroiditis
582.1	Chronic glomerulonephritis with lesion of membranous glomerulonephritis
685.1	Pilonidal cyst without mention of abscess
569.69	Other colostomy and enterostomy complication
440.23	Atherosclerosis of native arteries of the extremities with ulceration
627.2	Symptomatic menopausal or female climacteric states
730.27	Unspecified osteomyelitis, ankle and foot
440.22	Atherosclerosis of native arteries of the extremities with rest pain
279.00	Hypogammaglobulinemia, unspecified
758.6	Gonadal dysgenesis
112.0	Candidiasis of mouth
369.70	Moderate or severe impairment, one eye, impairment level not further specified
558.1	Gastroenteritis and colitis due to radiation
595.82	Irradiation cystitis
627.3	Postmenopausal atrophic vaginitis
V76.51	Special screening for malignant neoplasms of colon
414.8	Other specified forms of chronic ischemic heart disease
789.07	Abdominal pain, generalized
442.2	Aneurysm of iliac artery
576.9	Unspecified disorder of biliary tract
793.99	Other nonspecific (abnormal) findings on radiological and other examinations of body structure
423.9	Unspecified disease of pericardium
478.30	Paralysis of vocal cords or larynx, unspecified
454.8	Varicose veins of lower extremities with other complications
696.0	Psoriatic arthropathy
790.21	Impaired fasting glucose
799.02	Hypoxemia
577.1	Chronic pancreatitis
373.00	Blepharitis, unspecified
209.00	Malignant carcinoid tumor of the small intestine, unspecified portion
459.2	Compression of vein
790.99	Other nonspecific findings on examination of blood
027.0	Listeriosis
388.30	Tinnitus, unspecified
388.42	Hyperacusis
555.0	Regional enteritis of small intestine
602.8	Other specified disorders of prostate
780.60	Fever, unspecified
789.61	Abdominal tenderness, right upper quadrant
550.92	Inguinal hernia, without mention of obstruction or gangrene, bilateral (not specified as recurrent)
727.43	Ganglion, unspecified
282.5	Sickle-cell trait
394.1	Rheumatic mitral insufficiency
152.0	Malignant neoplasm of duodenum
577.2	Cyst and pseudocyst of pancreas
183.2	Malignant neoplasm of fallopian tube
153.4	Malignant neoplasm of cecum
394.2	Mitral stenosis with insufficiency
719.97	Unspecified disorder of joint, ankle and foot
344.1	Paraplegia
590.80	Pyelonephritis, unspecified
