code	name
7413	SIMVASTATIN 80 MG TAB
7095	FEXOFENADINE 180 MG TAB
818	METFORMIN 500 MG TAB
421	FUROSEMIDE 40 MG TABLET
31504	METOPROLOL TARTRATE 25 MG TAB
2745	TRAZODONE 50 MG TABLET
11735	BACLOFEN 10 MG TAB
7307	AMLODIPINE 5 MG TABLET
7532	VALACYCLOVIR 500 MG TABLET
16330	ASPIRIN 81 MG TAB
12287	MIRTAZAPINE 30 MG TABLET
16303	HYDRALAZINE 50 MG TABLET
8813	LEVOTHYROXINE 75 MCG TABLET
1821	FERROUS FUM-VIT C-VIT B12-FA 460 MG-60 MG-0.01 MG-1 MG CAPSULE
16639	FUROSEMIDE 20 MG TAB
8255	SIMVASTATIN 40 MG TABLET
7474	DIVALPROEX 500 MG TAB, DELAYED RELEASE
16470	LISINOPRIL 5 MG TABLET
73434	SITAGLIPTIN 100 MG TABLET
26050	ESCITALOPRAM 10 MG TAB
12890	CLOTRIMAZOLE-BETAMETHASONE 1 %-0.05 % TOPICAL CREAM
54206	METOPROLOL TARTRATE ORAL
29512	ROSUVASTATIN 20 MG TABLET
15790	B COMPLEX VITAMINS TAB
7424	ALLOPURINOL 100 MG TABLET
96799	PRADAXA ORAL
2767	POLYETHYLENE GLYCOL 3350 17 GRAM ORAL POWDER PACKET
76779	INSULIN GLARGINE 100 UNIT/ML (3 ML) SUB-Q PEN
55956	NOVOLIN L SUBQ
3104	LISINOPRIL 20 MG-HYDROCHLOROTHIAZIDE 12.5 MG TABLET
3416	METOPROLOL TARTRATE 100 MG TABLET
14655	NIACIN 100 MG TAB
42152	ARICEPT ORAL
1846	CARVEDILOL 12.5 MG TAB
3339	TRAMADOL 37.5 MG-ACETAMINOPHEN 325 MG TABLET
80361	SEVELAMER CARBONATE 800 MG TAB
20668	VALSARTAN 160 MG TAB
6358	PIOGLITAZONE 45 MG TABLET
19399	ATENOLOL 50 MG TABLET
7650	OMEPRAZOLE 40 MG CAP, DELAYED RELEASE
49596	FOLIC ACID ORAL
5944	NAPROXEN 250 MG TABLET
17793	ZOLPIDEM 10 MG TAB
2679	OMEGA-3 FATTY ACIDS 1,000 MG CAPSULE
13141	GLIMEPIRIDE 4 MG TABLET
82993	CHOLECALCIFEROL (VITAMIN D3) 2,000 UNIT TAB
39154	PREGABALIN 75 MG CAP
98908	VILAZODONE 40 MG TAB
79743	BRIMONIDINE-TIMOLOL 0.2 %-0.5 % EYE DROPS
8863	VALSARTAN-HYDROCHLOROTHIAZIDE 80 MG-12.5 MG TAB
3134	CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERMAL PATCH
15812	BENAZEPRIL 20 MG TABLET
7735	ASPIRIN 81 MG TABLET,DELAYED RELEASE
13195	LANSOPRAZOLE 30 MG CAPSULE,DELAYED RELEASE
84345	CALCIUM 500 + D (D3) ORAL
10196	FAMOTIDINE 20 MG TABLET
66167	VALSARTAN 320 MG-HYDROCHLOROTHIAZIDE 25 MG TABLET
4791	ISOSORBIDE MONONITRATE ER 30 MG TABLET,EXTENDED RELEASE 24 HR
18013	LOSARTAN 50 MG-HYDROCHLOROTHIAZIDE 12.5 MG TABLET
15077	SERTRALINE 25 MG TABLET
10168	POTASSIUM CHLORIDE ER 20 MEQ TABLET,EXTENDED RELEASE(PART/CRYST)
10972	OXYCODONE-ACETAMINOPHEN 10 MG-325 MG TABLET
12886	HYDROCODONE-ACETAMINOPHEN 7.5 MG-750 MG TABLET
20359	DORZOLAMIDE 2 % EYE DROPS
92252	RIVAROXABAN 20 MG TABLET
3545	BENZONATATE 200 MG CAPSULE
31443	ESCITALOPRAM 5 MG TAB
18672	LISINOPRIL 40 MG TABLET
86852	SAXAGLIPTIN 5 MG TABLET
85092	FESOTERODINE ER 4 MG TABLET,EXTENDED RELEASE 24 HR
92347	DABIGATRAN ETEXILATE 150 MG CAPSULE
55042	MYLANTA ORAL
46452	CYMBALTA ORAL
14663	HYDROCODONE-HOMATROPINE 5 MG-1.5 MG/5 ML SYRUP
11522	DEXAMETHASONE 1 MG TABLET
5750	METFORMIN 850 MG TABLET
1217	ATORVASTATIN 80 MG TABLET
7981	TRIAMCINOLONE ACETONIDE 0.1 % TOPICAL CREAM
23871	ALBUTEROL (REFILL) 90 MCG/ACTUATION AEROSOL INHALER
4397	BRINZOLAMIDE 1 % EYE DROPS, SUSP
12825	RANITIDINE 150 MG TABLET
4781	FELODIPINE ER 5 MG TABLET,EXTENDED RELEASE 24 HR
20146	VITAMIN B COMPLEX CAPSULE
86480	BESIFLOXACIN 0.6 % EYE DROPS, SUSP
11147	FUROSEMIDE 80 MG TAB
52153	JUICE PLUS FIBRE ORAL
5589	PRENATAL (WITHOUT)-VIT A-IRON FUM-FOLIC ACID 106 MG IRON-1 MG CAP
26584	DUTASTERIDE 0.5 MG CAPSULE
571	DOCUSATE SODIUM 50 MG/5 ML ORAL LIQUID
18681	ONDANSETRON 4 MG DISINTEGRATING TABLET
800	LAMOTRIGINE 150 MG TABLET
4792	ALENDRONATE 70 MG TABLET
6797	THERAPEUTIC MULTIVITAMIN TABLET
41700	AMLODIPINE ORAL
14275	HYDROCHLOROTHIAZIDE 12.5 MG CAPSULE
17290	DIAZEPAM 10 MG TABLET
31853	MYCOPHENOLATE SODIUM 360 MG TABLET,DELAYED RELEASE
10091	CITALOPRAM 20 MG TABLET
92251	RIVAROXABAN 15 MG TABLET
38574	IPRATROPIUM BROMIDE 17 MCG/ACTUATION HFA AEROSOL INHALER
12587	METFORMIN 1,000 MG TABLET
3585	METOPROLOL SUCCINATE ER 50 MG TABLET,EXTENDED RELEASE 24 HR
15054	GABAPENTIN 300 MG CAPSULE
3185	ASPIRIN 325 MG TABLET
1254	CARVEDILOL 25 MG TABLET
13572	LEVOTHYROXINE 150 MCG TABLET
80364	NEBIVOLOL 5 MG TABLET
19762	LORATADINE 10 MG TAB
56274	OMEGA 3 ORAL
55912	NORVASC ORAL
9715	ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR
37509	INSULIN GLARGINE 100 UNIT/ML SUBQ CARTRIDGE
36397	CALCIUM ACETATE 667 MG CAP
3820	RISPERIDONE 4 MG TABLET
35995	ALBUTEROL SULFATE 2.5 MG/0.5 ML SOLUTION FOR NEBULIZATION
6095	CYANOCOBALAMIN (VITAMIN B-12) 1,000 MCG TAB
13086	RAMIPRIL 2.5 MG CAPSULE
8320	ONDANSETRON 8 MG DISINTEGRATING TABLET
84675	QUETIAPINE ER 150 MG TABLET,EXTENDED RELEASE 24 HR
18287	HYDROCORTISONE 2.5 % TOPICAL OINTMENT
7771	ACETAMINOPHEN 650 MG TABLET
5220	GABAPENTIN 400 MG CAPSULE
1807	ATORVASTATIN 20 MG TAB
11751	AMLODIPINE 10 MG TAB
8267	CARVEDILOL 3.125 MG TAB
20262	AMOXICILLIN 875 MG-POTASSIUM CLAVULANATE 125 MG TABLET
13074	IRBESARTAN 300 MG-HYDROCHLOROTHIAZIDE 12.5 MG TABLET
86497	CHOLECALCIFEROL (VITAMIN D3) 5,000 UNIT TAB
104927	APIXABAN 2.5 MG TABLET
4213	TOLTERODINE 1 MG TABLET
7810	TRAMADOL 50 MG TABLET
3638	LEVETIRACETAM 500 MG TABLET
3780	RANITIDINE 300 MG TABLET
7604	MORPHINE ER 30 MG TABLET,EXTENDED RELEASE
75453	SITAGLIPTIN-METFORMIN 50 MG-500 MG TAB
11002	GABAPENTIN 800 MG TABLET
19553	FINASTERIDE 5 MG TABLET
20314	PHENOBARBITAL 32.4 MG TABLET
54203	METOPROLOL SUCCINATE ORAL
21623	CHOLECALCIFEROL (VITAMIN D3) 1,000 UNIT CAPSULE
847	MULTIVITAMIN ORAL LIQUID
43940	BUSPAR ORAL
508	LATANOPROST 0.005 % EYE DROPS
13908	IBUPROFEN 400 MG TABLET
11663	DILTIAZEM CD 300 MG CAPSULE,EXTENDED RELEASE 24 HR
42453	ATIVAN ORAL
29510	ROSUVASTATIN 5 MG TABLET
6580	HALOPERIDOL 1 MG TABLET
12668	LEVOTHYROXINE 125 MCG TAB
49772	FUROSEMIDE ORAL
14060	GUANFACINE 1 MG TAB
6114	THIAMINE HCL 100 MG TABLET
12012	INSULIN ASPART 100 UNIT/ML SUB-Q
11581	NIFEDIPINE ER 90 MG TABLET,EXTENDED RELEASE 24 HR
19599	RAMIPRIL 5 MG CAPSULE
56230	OCUVITE ORAL
16843	METOPROLOL SUCCINATE ER 25 MG 24 HR TAB
65410	RANOLAZINE ER 500 MG 12 HR TAB
16093	ALLOPURINOL 300 MG TABLET
9291	MELOXICAM 7.5 MG TAB
23931	ENOXAPARIN 80 MG/0.8 ML SUBCUTANEOUS SYRINGE
12421	FERROUS SULFATE 325 MG (65 MG IRON) TAB
8157	BUTALBITAL-ACETAMINOPHEN-CAFFEINE 50 MG-325 MG-40 MG TABLET
12271	NORTRIPTYLINE 10 MG CAPSULE
95664	VANCOMYCIN 1 GRAM/150 ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION
49280	FLAGYL ORAL
19176	CHOLECALCIFEROL (VITAMIN D3) 400 UNIT TABLET
60279	SEPTRA DS ORAL
72680	EFAVIRENZ-EMTRICITABIN-TENOFOVIR 600 MG-200 MG-300 MG TABLET
13455	WARFARIN 5 MG TABLET
23933	ENOXAPARIN 40 MG/0.4 ML SUBCUTANEOUS SYRINGE
13064	PYRIDOSTIGMINE BROMIDE 60 MG TABLET
19918	NAPROXEN 500 MG TAB
23787	ERGOCALCIFEROL (VITAMIN D2) 1,000 UNIT CAPSULE
17332	EPINEPHRINE 0.3 MG/0.3 ML (1:1,000) INJECTION,AUTO-INJECTOR
8878	BETHANECHOL CHLORIDE 25 MG TABLET
26051	ESCITALOPRAM 20 MG TABLET
19138	LISINOPRIL 2.5 MG TABLET
50202	GLUCOPHAGE ORAL
25329	CICLOPIROX 0.77 % TOPICAL SUSP
22894	DEXTRAN 70-HYPROMELLOSE EYE DROPS
39351	NEPAFENAC 0.1 % EYE DROPS, SUSP
58664	PROGRAF ORAL
40292	QUETIAPINE 50 MG TABLET
9540	LOSARTAN-HYDROCHLOROTHIAZIDE 100 MG-25 MG TAB
7069	CHLORTHALIDONE 25 MG TABLET
15053	MOMETASONE 50 MCG/ACTUATION NASAL SPRAY
6783	RISPERIDONE 0.25 MG TABLET
40670	ACETAMINOPHEN-CODEINE ORAL
17413	IBUPROFEN 600 MG TABLET
34800	TIOTROPIUM BROMIDE 18 MCG CAPS WITH INHALATION DEVICE
7173	DEXTROMETHORPHAN-GUAIFENESIN 10 MG-100 MG/5 ML SYRUP
4435	GLIPIZIDE ER 10 MG TABLET, EXTENDED RELEASE 24 HR
81991	VITAMIN B COMPLEX #3-FOLIC ACID-VIT C-BIOTIN 1 MG-60 MG-300 MCG TAB
3522	TIZANIDINE 4 MG TABLET
39228	OMEGA-3 ACID ETHYL ESTERS 1 GRAM CAPSULE
3391	NIFEDIPINE ER 90 MG TABLET,EXTENDED RELEASE
25014	CALCIUM CITRATE MALATE-VITAMIN D3 500 MG-200 UNIT TAB
19453	CALCITRIOL 0.25 MCG CAPSULE
3249	GLYBURIDE 5 MG TAB
9733	ALPRAZOLAM 0.5 MG TAB
17432	MULTIVITAMIN WITH MINERALS TAB
2710	IRBESARTAN-HYDROCHLOROTHIAZIDE 150 MG-12.5 MG TAB
20168	METOCLOPRAMIDE 10 MG TABLET
16007	MONTELUKAST 10 MG TABLET
900001	OTHER MED/UNKNOWN TO PATIENT
17270	INSULIN LISPRO 100 UNIT/ML SUBCUTANEOUS SOLUTION
11953	GLIPIZIDE ER 2.5 MG 24 HOUR TAB
93891	PITAVASTATIN 4 MG TAB
12745	TRIAMCINOLONE ACETONIDE 0.1 % TOPICAL OINTMENT
12517	FLUOXETINE 20 MG TAB
15166	OMEPRAZOLE 20 MG CAPSULE,DELAYED RELEASE
19794	GLIPIZIDE 5 MG TABLET
57386	PERCOCET ORAL
5141	CLONIDINE HCL 0.3 MG TABLET
36547	DULOXETINE 20 MG CAP, DELAYED RELEASE
18517	HYDROXYZINE 10 MG TABLET
6840	POTASSIUM CHLORIDE ER 10 MEQ TABLET,EXTENDED RELEASE
4762	PREDNISONE 20 MG TABLET
10292	MAGNESIUM OXIDE 400 MG TABLET
51055	HYDRALAZINE ORAL
104	LOSARTAN 50 MG TAB
77	MULTIVITAMIN TABLET
2708	LOPERAMIDE 2 MG CAP
21355	MULTIVIT-IRON-MIN-FOLIC ACID 1 MG TABLET
16526	HYDROCHLOROTHIAZIDE 25 MG TABLET
7891	ACETAMINOPHEN 500 MG TAB
56779	OYSCO 500/D ORAL
26515	GLIPIZIDE 5 MG-METFORMIN 500 MG TABLET
87063	CREON ORAL
72592	SEASONIQUE ORAL
13402	URSODIOL 300 MG CAP
7379	CALCIUM CARBONATE-VITAMIN D3 600 MG (1,500)-200 UNIT TABLET
13644	FLUTICASONE-SALMETEROL 500 MCG-50 MCG/DOSE DISK DEVICE FOR INHALATION
1464	PREDNISONE 10 MG TABLET
24556	INSULIN LISPRO 100 UNIT/ML SUBCUTANEOUS CARTRIDGE
1451	ACETAMINOPHEN 325 MG TABLET
74820	PRENATAL VITAMIN COMB.10-IRON-FA-DHA 65 MG-1 MG-250 MG ORAL COMBO PACK
19859	FLAXSEED ORAL POWDER
24788	HEPARIN (PORCINE) 5,000 UNIT/0.5 ML SYRINGE
29117	ASCORBIC ACID 500 MG/5 ML SYRUP
35094	PNV (WITHOUT CALCIUM)-IRON FUM-FOLIC ACID 27 MG-1 MG TABLET
6880	HYDROXYZINE HCL 50 MG TABLET
28248	METFORMIN ER 750 MG TABLET,EXTENDED RELEASE 24 HR
40832	ACTOPLUS MET ORAL
26551	EZETIMIBE 10 MG TABLET
26645	ZINC OXIDE OINTMENT
7910	GUAIFENESIN 100 MG/5 ML ORAL LIQUID
29511	ROSUVASTATIN 10 MG TAB
39172	LYRICA 75 MG CAPSULE
64135	VITAMIN C ORAL
4666	LISINOPRIL 20 MG TABLET
49195	FIBERCON ORAL
4067	WARFARIN 7.5 MG TABLET
38566	EXENATIDE 10 MCG/0.04 ML PER DOSE SUB-Q PEN INJECTOR
17041	NYSTATIN 100,000 UNIT/GRAM TOPICAL POWDER
64816	ZOCOR ORAL
1454	CARVEDILOL 6.25 MG TAB
61777	SYNTHROID ORAL
60995	SPECTRAVITE ORAL
3306	IBUPROFEN 800 MG TABLET
39230	LEVALBUTEROL HFA 45 MCG/ACTUATION AEROSOL INHALER
1311	SENNOSIDES 8.6 MG TABLET
1600	REPAGLINIDE 2 MG TABLET
20386	PINDOLOL 5 MG TAB
161	CELECOXIB 200 MG CAPSULE
58403	PRENATAL VITAMIN ORAL
28950	LANSOPRAZOLE 30 MG RAPID DISSOLVE TAB, DELAYED RELEASE
5165	METOPROLOL SUCCINATE ER 100 MG TABLET,EXTENDED RELEASE 24 HR
49403	FLOMAX ORAL
16963	LOTEPREDNOL ETABONATE 0.5 % EYE DROPS,SUSPENSION
93464	RIFAXIMIN 550 MG TABLET
76564	AMLODIPINE 5 MG-VALSARTAN 160 MG TABLET
13116	LISINOPRIL 10 MG TAB
1182	FLUTICASONE-SALMETEROL 250 MCG-50 MCG/DOSE DISK DEVICE FOR INHALATION
84984	DEXLANSOPRAZOLE 60 MG CAPSULE,DELAYED RELEASE,MULTIPHASIC
9239	RISPERIDONE 2 MG TABLET
1763	PAROXETINE 10 MG TABLET
20165	DIAZEPAM 5 MG TABLET
1979	DONEPEZIL 5 MG TABLET
12660	BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSPENSION
5235	SERTRALINE 100 MG TABLET
24415	MULTIVITAMIN-MINERALS-LUTEIN TABLET
11267	PREDNISONE 1 MG TABLET
13136	INSULIN REGULAR HUMAN 100 UNIT/ML INJECTION
19824	FOLIC ACID 800 MCG TAB
45678	COLACE ORAL
399	PRAMIPEXOLE 1 MG TABLET
46190	COUMADIN ORAL
19845	PRAZOSIN 2 MG CAP
4464	DONEPEZIL 10 MG TABLET
13192	FERROUS SULFATE 300 MG (60 MG IRON)/5 ML ORAL LIQUID
13303	LIDOCAINE 5 % (700 MG/PATCH) ADHESIVE PATCH
3542	AMIODARONE 200 MG TABLET
18790	LOSARTAN 100 MG TABLET
17951	METHIMAZOLE 10 MG TAB
2424	ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION
82468	CHOLECALCIFEROL (VITAMIN D3) 2,000 UNIT CAPSULE
73338	CHOLECALCIFEROL (VITAMIN D3) 1,000 UNIT TABLET
76187	BUDESONIDE-FORMOTEROL HFA 160 MCG-4.5 MCG/ACTUATION AEROSOL INHALER
72392	DOXYCYCLINE ER 40 MG MULTIPHASE 24 HR CAP
76543	CALCIUM CARBONATE 250 MG (625 MG) TABLET
9940	POTASSIUM CHLORIDE 20 MEQ ORAL PACKET
5863	ATENOLOL 25 MG TABLET
5292	PREDNISONE 5 MG TABLET
3348	CILOSTAZOL 50 MG TAB
29686	POTASSIUM CHLORIDE ER 10 MEQ TAB, PARTICLES/CRYSTALS
14393	NITROGLYCERIN 0.4 MG/DOSE TRANSLINGUAL SPRAY
52175	K-LOR ORAL
10393	LORAZEPAM 0.5 MG TABLET
13711	LOSARTAN 25 MG TABLET
24771	AMLODIPINE-BENAZEPRIL 10 MG-20 MG CAP
20527	MUPIROCIN 2 % NASAL OINTMENT
13591	IRON SUCROSE 100 MG/5 ML IRON IV
8098	SPIRONOLACTONE 25 MG TAB
80529	OMEPRAZOLE 20 MG TABLET,DELAYED RELEASE
27724	DILTIAZEM ER 120 MG 24 HR TAB
9974	CLONIDINE 0.2 MG TABLET
14016	NPH INSULIN HUMAN RECOMB 100 UNIT/ML SUSP, SUB-Q INJ
709	FLUCONAZOLE 100 MG TABLET
76936	OMEGA-3 FATTY ACIDS-FISH OIL 360 MG-1,200 MG CAPSULE
20453	CARBOXYMETHYLCELLULOSE SODIUM 1 % EYE DROPS
13298	DIVALPROEX ER 500 MG TABLET,EXTENDED RELEASE 24 HR
97966	OMEGA 3 FISH OIL ORAL
28710	SODIUM CHLORIDE 0.65 % NASAL SPRAY AEROSOL
300042	MAGIC MOUTHWASH
37700	VANCOMYCIN 1 GRAM/250 ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS
54134	METHOTREXATE SODIUM ORAL
4477	MELOXICAM 15 MG TABLET
18968	FLUTICASONE 50 MCG/ACTUATION NASAL SPRAY,SUSPENSION
9311	LEVOTHYROXINE 100 MCG TABLET
1515	ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY
14804	MUPIROCIN 2 % TOPICAL CREAM
10069	WARFARIN 6 MG TAB
93029	LEVOTHYROXINE 25 MCG CAPSULE
17896	ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER
2626	DIVALPROEX 250 MG TABLET,DELAYED RELEASE
15132	BALSALAZIDE 750 MG CAPSULE
48283	ENALAPRIL MALEATE ORAL
64113	VITAMIN B-1 ORAL
1499	BETAXOLOL 0.25 % EYE DROPS,SUSPENSION
48107	EFFEXOR ORAL
7570	CIPROFLOXACIN 500 MG TABLET
7409	ACYCLOVIR 400 MG TAB
17143	LORAZEPAM 1 MG TABLET
20623	ESOMEPRAZOLE MAGNESIUM 20 MG CAP, DELAYED RELEASE
86467	TOLVAPTAN 30 MG TAB
62587	TRAMADOL ORAL
27634	INSULIN ASPART 100 UNIT/ML SUBCUTANEOUS PEN
1392	CLONIDINE 0.1 MG TAB
12119	LACTULOSE 10 GRAM ORAL PACKET
4694	GLIPIZIDE 10 MG TABLET
3855	ALBUTEROL SULFATE 1.25 MG/3 ML SOLUTION FOR NEBULIZATION
6337	VALSARTAN 80 MG TABLET
53318	LUPRON DEPOT IM
27713	AZATHIOPRINE 100 MG TAB
17337	VITAMIN C-VITAMIN E CAPSULE
36549	DULOXETINE 60 MG CAPSULE,DELAYED RELEASE
53218	LORATADINE ORAL
14717	NITROGLYCERIN 0.4 MG SUBLINGUAL TABLET
78412	IRON ASP.GLY & FUM-VIT C-FA-MV #11-CA 151 MG-200 MG-1 MG-0.8 MG TABLET
16855	ALBUTEROL 90 MCG/ACTUATION AEROSOL INHALER
6063	INSULIN NPH & REGULAR HUMAN INSULIN 100 UNIT/ML (70-30) SUSP,SUB-Q INJ
43681	BOSENTAN ORAL
15781	VERAPAMIL ER (PM) 100 MG CAP 24HR PELLET CT
14048	BENZTROPINE 1 MG TABLET
62686	TRAZODONE ORAL
11614	DIAZEPAM 2 MG TABLET
86514	LAMOTRIGINE ER 200 MG TABLET,24 HR EXTENDED RELEASE
689	FUROSEMIDE 10 MG/ML INJECTION
81716	MULTIVIT & MIN-CALCIUM-BIOTIN-VIT D3-FA 200 MG-450 MCG-400 UNIT TABLET
61039	SPIRONOLACTONE ORAL
16290	ZINC OXIDE-COD LIVER OIL 40 % TOPICAL OINTMENT
5047	ENALAPRIL MALEATE 2.5 MG TAB
3130	OXYBUTYNIN CHLORIDE ER 10 MG TABLET,EXTENDED RELEASE 24 HR
16332	QUINAPRIL 20 MG TAB
9468	ISOSORBIDE DINITRATE 30 MG TAB
7905	RISPERIDONE 3 MG TABLET
19880	FLUTICASONE 110 MCG/ACTUATION AEROSOL INHALER
2417	CLINDAMYCIN 300 MG CAPSULE
12916	DIPHENHYDRAMINE 25 MG TABLET
48535	ERYTHROMYCIN ESTOLATE ORAL
46078	COREG ORAL
16626	ZOLPIDEM 5 MG TAB
12134	CEPHALEXIN 500 MG CAPSULE
3616	ATENOLOL 100 MG TABLET
11209	DICYCLOMINE 20 MG TABLET
7375	TRIMETHOPRIM 100 MG TAB
8622	OXYCODONE 15 MG TAB
18434	ARTIFICIAL TEAR (HYPROMELLOSE) 0.3 % EYE DROPS
8468	LEVOTHYROXINE 25 MCG TAB
60505	SIMVASTATIN ORAL
73017	FENOFIBRATE NANOCRYSTALLIZED 145 MG TABLET
15258	BUDESONIDE 0.5 MG/2 ML NEB SUSPENSION
6134	TORSEMIDE 10 MG TABLET
18336	OXYBUTYNIN CHLORIDE 5 MG TABLET
2863	CETIRIZINE 10 MG TABLET
41208	ALEVE ORAL
8798	PANTOPRAZOLE 20 MG TABLET,DELAYED RELEASE
64148	VITAMIN D ORAL
17641	LEVOFLOXACIN 500 MG TAB
16781	GABAPENTIN 100 MG CAPSULE
26747	NPH INSULIN HUMAN RECOMB 100 UNIT/ML (3 ML) SUBCUTANEOUS PEN
19210	INSULIN LISPRO PROTAMINE SUSP&INS.LISPRO 100 UNIT/ML (75-25) SUB-Q
76186	BUDESONIDE-FORMOTEROL HFA 80 MCG-4.5 MCG/ACTUATION AEROSOL INHALER
18965	FLUOXETINE 20 MG CAP
27727	DILTIAZEM ER 300 MG TABLET,EXTENDED RELEASE 24 HR
55619	NIACIN ORAL
623	ISOSORBIDE DINITRATE 10 MG TAB
55463	NEPHPLEX RX ORAL
860	ASPIRIN 300 MG RECTAL SUPPOSITORY
687	TERAZOSIN 5 MG CAPSULE
1551	ATENOLOL-CHLORTHALIDONE 100 MG-25 MG TAB
81685	LUBIPROSTONE 8 MCG CAP
6870	METRONIDAZOLE 500 MG TAB
28447	LEVOFLOXACIN 500 MG/100 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK
39589	CHLORHEXIDINE GLUCONATE 0.12 % MOUTHWASH
60291	SEROQUEL ORAL
12245	LACTOBACILLUS ACIDOPHILUS-PECTIN CAP
14037	BUPROPION HCL 75 MG TABLET
783	CLOTRIMAZOLE 10 MG TROCHE
11169	GLYBURIDE 5 MG-METFORMIN 500 MG TABLET
11303	CALCIUM CARB-ERGOCALCIFEROL (VIT D2) 500 MG-125 UNIT TABLET
78370	FERROUS GLUCONATE 325 MG (36 MG IRON) TABLET
6286	WARFARIN 2.5 MG TABLET
1970	IPRATROPIUM-ALBUTEROL 0.5 MG-3 MG(2.5 MG BASE)/3 ML NEBULIZATION SOLN
14656	IBUPROFEN 200 MG TABLET
2042	LACTULOSE 10 GRAM/15 ML SYRUP
3290	PRAVASTATIN 40 MG TABLET
36463	EZETIMIBE-SIMVASTATIN 10 MG-80 MG TAB
40136	EMOLLIENT COMBINATION NO.10 TOPICAL EMULSION
15699	FELODIPINE ER 10 MG TABLET,EXTENDED RELEASE 24 HR
4017	WARFARIN 10 MG TABLET
22475	B-COMPLEX WITH VITAMIN C CAP
53035	LIPITOR ORAL
3317	DILTIAZEM CD 180 MG CAPSULE,EXTENDED RELEASE 24 HR
14361	NIACIN 500 MG TAB
3631	HYDROCHLOROTHIAZIDE 50 MG TAB
47424	DIOVAN ORAL
